----------------------------------------------------
Start running at 2021-12-03 17:01:42.992013

Momentum: 0.031640700990239065
Trade: Buy at 2021-12-03 17:01:45.464833 for 4217.32
Balance: 10.0

At 2021-12-04 06:03:30.235540, Momentum: -0.10396243937107859 , Long: False

At 2021-12-04 06:13:31.732587, Momentum: -0.0935285883847998 , Long: False

At 2021-12-04 06:23:33.947922, Momentum: -0.1002337439083916 , Long: False

At 2021-12-04 06:33:35.979104, Momentum: -0.10451232768088209 , Long: False

At 2021-12-04 06:43:37.103641, Momentum: -0.11105742478701348 , Long: False

